chemical.id,conc,plate.id,well,remove,bottle.id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48
Chorionated,0,17744,A01,0,blk,0,0,0,0,0,0,26.5408125,17.165808125,0,0,0,0,46.354153125,0,43.3159490625,0,0,0,0,44.379325,0.0651040625,27.690975,3.081596875,0,0,43.35935,0.49913125,0,0,3.1033,36.827278125,0,0,67.38280625,1.605903125,0,0,0,0,13.715278125,21.093756875,0,0,0,0,0,0,0
Chorionated,0,17744,B01,0,blk,0,16.68835,45.4861165625,0.086805625,0,0,0,0,0,0,31.163215625,0,0,0,0,0,0,0,0,0,0,2.5607625,29.4487615625,0,0,35.19964,0,0,0,0,0,0,0,0,0,0,0,20.76821875,65.3428959375,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,C01,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,D01,0,blk,38.3246371875,0,0,0,43.033859375,0,0,0,0,0,64.7569375,6.3150965625,0,0,0,0,0,36.024315625,7.8124965625,0,0,51.085140625,15.494790625,0,0,0,50.217,12.825509375,0,0,0,0.347221875,38.6501375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,E01,0,blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,F01,0,blk,5.598944375,0,0,39.908853125,42.599809375,1.6492934375,0,0,6.31509375,71.9400625,0,0,0,0,0,85.503490625,13.519978125,0,0,0,0,21.72308125,66.037331875,0,0,0,0,28.4070903125,44.466128125,0,0,0,28.125015625,6.6406103125,0.1302084375,40.1475759375,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,G01,0,blk,0,0,30.1432659375,0,0,0,0,25.217,10.7855903125,0,0,0,36.0894175,0,0,0,0,37.261259375,0,0,0,0,44.683158125,0,0,0.0216875,0,35.5469125,0.4123125,0,0,21.72309375,79.687515,87.2178821875,54.9045,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,H01,0,blk,0,0,0,45.0304259375,0,0,10.48178125,34.6354284375,0,53.66752625,0,0,55.38194375,48.63276875,0,0,0,0,0,58.9192625,0,0,54.81775,3.927950625,55.72917625,0,0,0,0,0,0,0,110.59028125,73.567695,23.415770625,41.1674996875,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,A02,0,blk,0,0,13.736971875,0,0,38.4982625,0.716144375,0,0,0,0,0,0,0,22.91665125,0,0,0,0,10.89409125,0,0,39.8654496875,0,0,0,18.2074759375,26.6493009375,19.2491190625,0,41.601565,4.8177071875,21.02865625,37.9557071875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,B02,0,blk,54.5139009375,18.185764375,0,0,0,0,0,32.7474,0.7161321875,0,18.967021875,6.42361875,0,0,0,30.121546875,0.3472221875,0,36.045993125,0,0,0,0,0,43.4245071875,0.0434028125,0,0,29.40535375,0,0,31.445334375,11.21963125,55.9678646875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,C02,1,blk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chorionated,0,17744,D02,0,blk,43.68486875,0,0,0,31.70575,12.7170228125,0,0,0,0,0.0216875,37.326405625,1.77951375,40.863726875,0,0,39.7352125,0.108506875,0,0,0,0,0,38.4982728125,0,0.0216875,0,10.80728125,27.88628375,0,0.0216875,0,116.471375,5.8810809375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorionated,0,17744,E02,1,blk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chorionated,0,17744,F02,0,blk,1.193575,0,24.8697871875,0,0,0,28.3854375,4.8828125,0,7.7908125,40.9288125,17.426196875,6.8142403125,0,0,0,0,0,33.0512228125,0,0,0,28.05991625,0,0,0,43.945289375,0,0,23.242159375,6.640625,0,96.679669375,119.639775,143.988759375,0.2604165625,0,0,0,0,0,0,0,0,0,0,0,0
