"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"C125605_20190502","MO24","0","1","1",0
"C125605_20190502","MO24","1","5","5",0
"C125605_20190502","DP24","0","0","0",0
"C125605_20190502","DP24","1","0","0",0
"C125605_20190502","SM24","0","0","0",0
"C125605_20190502","SM24","1","0","0",0
"C125605_20190502","NC24","0","0","0",0
"C125605_20190502","NC24","1","0","0",0
"C125605_20190502","MORT","0","2","2",0
"C125605_20190502","MORT","1","8","8",0
"C125605_20190502","YSE","0","0","0",0
"C125605_20190502","YSE","1","1","1",0
"C125605_20190502","AXIS","0","0","0",0
"C125605_20190502","AXIS","1","0","0",0
"C125605_20190502","EYE","0","0","0",0
"C125605_20190502","EYE","1","1","1",0
"C125605_20190502","SNOUT","0","0","0",0
"C125605_20190502","SNOUT","1","0","0",0
"C125605_20190502","JAW","0","0","0",0
"C125605_20190502","JAW","1","0","0",0
"C125605_20190502","OTIC","0","0","0",0
"C125605_20190502","OTIC","1","0","0",0
"C125605_20190502","PE","0","0","0",0
"C125605_20190502","PE","1","1","1",0
"C125605_20190502","BRAIN","0","0","0",0
"C125605_20190502","BRAIN","1","0","0",0
"C125605_20190502","SOMITE","0","0","0",0
"C125605_20190502","SOMITE","1","0","0",0
"C125605_20190502","PFIN","0","0","0",0
"C125605_20190502","PFIN","1","0","0",0
"C125605_20190502","CFIN","0","0","0",0
"C125605_20190502","CFIN","1","0","0",0
"C125605_20190502","PIGMENT","0","0","0",0
"C125605_20190502","PIGMENT","1","1","1",0
"C125605_20190502","CIRC","0","0","0",0
"C125605_20190502","CIRC","1","0","0",0
"C125605_20190502","TRUNK","0","0","0",0
"C125605_20190502","TRUNK","1","0","0",0
"C125605_20190502","SWIM","0","0","0",0
"C125605_20190502","SWIM","1","0","0",0
"C125605_20190502","NC","0","0","0",0
"C125605_20190502","NC","1","0","0",0
"C125605_20190502","TR","0","0","0",0
"C125605_20190502","TR","1","0","0",0
"C125605_20190502","any.except.MORT","0","0","0",0
"C125605_20190502","any.except.MORT","1","1","1",0
"C125605_20190502","any.effect","0","2","2",0
"C125605_20190502","any.effect","1","9","9",0
