"well","plate.id","chemical.id","chemical.name","date","conc","starttime","vd_inadist","vd_smldist","vd_lardist","plate_well","total"
"A01",18101,3530,"Non Germ Free",20190502,1,0,1.58500003814697,3.02099990844727,4.32399988174438,"18101_A01",7.34499979019165
"A01",18101,3530,"Non Germ Free",20190502,1,6,1.86199998855591,1.17200005054474,0,"18101_A01",1.17200005054474
"A01",18101,3530,"Non Germ Free",20190502,1,12,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,18,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,24,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,30,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,36,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,42,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,48,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,54,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,60,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,66,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,72,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,78,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,84,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,90,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,96,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,102,0.488000005483627,1.61600005626678,0,"18101_A01",1.61600005626678
"A01",18101,3530,"Non Germ Free",20190502,1,108,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,114,0.446000009775162,1.13399994373322,0,"18101_A01",1.13399994373322
"A01",18101,3530,"Non Germ Free",20190502,1,120,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,126,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,132,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,138,1.82599997520447,1.56099998950958,0,"18101_A01",1.56099998950958
"A01",18101,3530,"Non Germ Free",20190502,1,144,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,150,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,156,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,162,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,168,1.61500000953674,1.78199994564056,0,"18101_A01",1.78199994564056
"A01",18101,3530,"Non Germ Free",20190502,1,174,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,180,1.39600002765656,6.04699993133545,16.3209991455078,"18101_A01",22.3679990768432
"A01",18101,3530,"Non Germ Free",20190502,1,186,2.55999994277954,7.08699989318848,12.2399997711182,"18101_A01",19.3269996643067
"A01",18101,3530,"Non Germ Free",20190502,1,192,1.71800005435944,8.22700023651123,3.54999995231628,"18101_A01",11.7770001888275
"A01",18101,3530,"Non Germ Free",20190502,1,198,1.9650000333786,1.30999994277954,0,"18101_A01",1.30999994277954
"A01",18101,3530,"Non Germ Free",20190502,1,204,1.38800001144409,1.2389999628067,0,"18101_A01",1.2389999628067
"A01",18101,3530,"Non Germ Free",20190502,1,210,1.54700005054474,5.35900020599365,7.06400012969971,"18101_A01",12.4230003356934
"A01",18101,3530,"Non Germ Free",20190502,1,216,2.80900001525879,5.5310001373291,17.4529991149902,"18101_A01",22.9839992523193
"A01",18101,3530,"Non Germ Free",20190502,1,222,3.08800005912781,7.81799983978271,11.7449998855591,"18101_A01",19.5629997253418
"A01",18101,3530,"Non Germ Free",20190502,1,228,1.76499998569489,5.94399976730347,14.7209997177124,"18101_A01",20.6649994850159
"A01",18101,3530,"Non Germ Free",20190502,1,234,2.19099998474121,6.54300022125244,12.6700000762939,"18101_A01",19.2130002975463
"A01",18101,3530,"Non Germ Free",20190502,1,240,1.78999996185303,10.8559999465942,12.7589998245239,"18101_A01",23.6149997711181
"A01",18101,3530,"Non Germ Free",20190502,1,246,0.570999979972839,13.8470001220703,5.48299980163574,"18101_A01",19.329999923706
"A01",18101,3530,"Non Germ Free",20190502,1,252,2.35800004005432,5.17199993133545,17.3509998321533,"18101_A01",22.5229997634887
"A01",18101,3530,"Non Germ Free",20190502,1,258,2.35599994659424,7.21000003814697,11.6660003662109,"18101_A01",18.8760004043579
"A01",18101,3530,"Non Germ Free",20190502,1,264,2.80800008773804,7.00899982452393,8.81900024414063,"18101_A01",15.8280000686646
"A01",18101,3530,"Non Germ Free",20190502,1,270,1.90100002288818,7.43599987030029,7.24200010299683,"18101_A01",14.6779999732971
"A01",18101,3530,"Non Germ Free",20190502,1,276,1.16199994087219,8.26900005340576,10.4390001296997,"18101_A01",18.7080001831055
"A01",18101,3530,"Non Germ Free",20190502,1,282,2.14100003242493,7.46199989318848,9.20699977874756,"18101_A01",16.668999671936
"A01",18101,3530,"Non Germ Free",20190502,1,288,2.41899991035461,6.62799978256226,9.98099994659424,"18101_A01",16.6089997291565
"A01",18101,3530,"Non Germ Free",20190502,1,294,1.53900003433228,7.09000015258789,8.79800033569336,"18101_A01",15.8880004882812
"A01",18101,3530,"Non Germ Free",20190502,1,300,0.804000020027161,8.85400009155273,17.8250007629395,"18101_A01",26.6790008544922
"A01",18101,3530,"Non Germ Free",20190502,1,306,1.33399999141693,10.5880002975464,13.6490001678467,"18101_A01",24.2370004653931
"A01",18101,3530,"Non Germ Free",20190502,1,312,1.09700000286102,7.99700021743774,13.9569997787476,"18101_A01",21.9539999961853
"A01",18101,3530,"Non Germ Free",20190502,1,318,0.785000026226044,9.29100036621094,13.7880001068115,"18101_A01",23.0790004730224
"A01",18101,3530,"Non Germ Free",20190502,1,324,1.32599997520447,10.3859996795654,6.89799976348877,"18101_A01",17.2839994430542
"A01",18101,3530,"Non Germ Free",20190502,1,330,2.39800000190735,5.83300018310547,4.27899980545044,"18101_A01",10.1119999885559
"A01",18101,3530,"Non Germ Free",20190502,1,336,2.64199995994568,8.8730001449585,7.8769998550415,"18101_A01",16.75
"A01",18101,3530,"Non Germ Free",20190502,1,342,1.07400000095367,6.40500020980835,12.5310001373291,"18101_A01",18.9360003471375
"A01",18101,3530,"Non Germ Free",20190502,1,348,2.1470000743866,6.93400001525879,17.003999710083,"18101_A01",23.9379997253418
"A01",18101,3530,"Non Germ Free",20190502,1,354,1.32799994945526,8.57299995422363,9.70100021362305,"18101_A01",18.2740001678467
"A01",18101,3530,"Non Germ Free",20190502,1,360,1.70200002193451,3.21600008010864,0,"18101_A01",3.21600008010864
"A01",18101,3530,"Non Germ Free",20190502,1,366,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,372,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,378,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,384,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,390,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,396,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,402,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,408,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,414,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,420,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,426,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,432,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,438,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,444,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,450,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,456,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,462,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,468,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,474,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,480,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,486,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,492,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,498,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,504,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,510,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,516,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,522,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,528,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,534,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,540,0,0,0,"18101_A01",0
"A01",18101,3530,"Non Germ Free",20190502,1,546,0.25,2.62400007247925,1.56500005722046,"18101_A01",4.18900012969971
"A01",18101,3530,"Non Germ Free",20190502,1,552,3.40300011634827,5.19299983978271,0.196999996900558,"18101_A01",5.38999983668327
"A01",18101,3530,"Non Germ Free",20190502,1,558,1.61600005626678,0.577000021934509,0,"18101_A01",0.577000021934509
"A01",18101,3530,"Non Germ Free",20190502,1,564,0.922999978065491,2.98799991607666,0.797999978065491,"18101_A01",3.78599989414215
