"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"C125605_20190403","MO24","0","1","1",0
"C125605_20190403","MO24","1","5","5",0
"C125605_20190403","DP24","0","0","0",0
"C125605_20190403","DP24","1","0","0",0
"C125605_20190403","SM24","0","0","0",0
"C125605_20190403","SM24","1","0","0",0
"C125605_20190403","NC24","0","0","0",0
"C125605_20190403","NC24","1","0","0",0
"C125605_20190403","MORT","0","1","1",0
"C125605_20190403","MORT","1","6","6",0
"C125605_20190403","YSE","0","1","1",0
"C125605_20190403","YSE","1","4","4",0
"C125605_20190403","AXIS","0","1","1",0
"C125605_20190403","AXIS","1","20","20",0
"C125605_20190403","EYE","0","0","0",0
"C125605_20190403","EYE","1","2","2",0
"C125605_20190403","SNOUT","0","0","0",0
"C125605_20190403","SNOUT","1","0","0",0
"C125605_20190403","JAW","0","0","0",0
"C125605_20190403","JAW","1","0","0",0
"C125605_20190403","OTIC","0","0","0",0
"C125605_20190403","OTIC","1","0","0",0
"C125605_20190403","PE","0","0","0",0
"C125605_20190403","PE","1","0","0",0
"C125605_20190403","BRAIN","0","0","0",0
"C125605_20190403","BRAIN","1","0","0",0
"C125605_20190403","SOMITE","0","0","0",0
"C125605_20190403","SOMITE","1","0","0",0
"C125605_20190403","PFIN","0","0","0",0
"C125605_20190403","PFIN","1","0","0",0
"C125605_20190403","CFIN","0","0","0",0
"C125605_20190403","CFIN","1","0","0",0
"C125605_20190403","PIGMENT","0","0","0",0
"C125605_20190403","PIGMENT","1","0","0",0
"C125605_20190403","CIRC","0","0","0",0
"C125605_20190403","CIRC","1","0","0",0
"C125605_20190403","TRUNK","0","0","0",0
"C125605_20190403","TRUNK","1","1","1",0
"C125605_20190403","SWIM","0","0","0",0
"C125605_20190403","SWIM","1","0","0",0
"C125605_20190403","NC","0","0","0",0
"C125605_20190403","NC","1","0","0",0
"C125605_20190403","TR","0","0","0",0
"C125605_20190403","TR","1","0","0",0
"C125605_20190403","any.except.MORT","0","2","2",0
"C125605_20190403","any.except.MORT","1","27","27",0
"C125605_20190403","any.effect","0","3","3",0
"C125605_20190403","any.effect","1","33","33",0
"C125605_20190404","MO24","0","2","2",0
"C125605_20190404","MO24","1","17","17",0
"C125605_20190404","DP24","0","0","0",0
"C125605_20190404","DP24","1","1","1",0
"C125605_20190404","SM24","0","0","0",0
"C125605_20190404","SM24","1","0","0",0
"C125605_20190404","NC24","0","0","0",0
"C125605_20190404","NC24","1","0","0",0
"C125605_20190404","MORT","0","2","2",0
"C125605_20190404","MORT","1","18","18",0
"C125605_20190404","YSE","0","0","0",0
"C125605_20190404","YSE","1","2","2",0
"C125605_20190404","AXIS","0","0","0",0
"C125605_20190404","AXIS","1","2","2",0
"C125605_20190404","EYE","0","0","0",0
"C125605_20190404","EYE","1","3","3",0
"C125605_20190404","SNOUT","0","0","0",0
"C125605_20190404","SNOUT","1","0","0",0
"C125605_20190404","JAW","0","0","0",0
"C125605_20190404","JAW","1","1","1",0
"C125605_20190404","OTIC","0","0","0",0
"C125605_20190404","OTIC","1","0","0",0
"C125605_20190404","PE","0","0","0",0
"C125605_20190404","PE","1","2","2",0
"C125605_20190404","BRAIN","0","0","0",0
"C125605_20190404","BRAIN","1","0","0",0
"C125605_20190404","SOMITE","0","0","0",0
"C125605_20190404","SOMITE","1","0","0",0
"C125605_20190404","PFIN","0","0","0",0
"C125605_20190404","PFIN","1","2","2",0
"C125605_20190404","CFIN","0","0","0",0
"C125605_20190404","CFIN","1","1","1",0
"C125605_20190404","PIGMENT","0","0","0",0
"C125605_20190404","PIGMENT","1","0","0",0
"C125605_20190404","CIRC","0","0","0",0
"C125605_20190404","CIRC","1","0","0",0
"C125605_20190404","TRUNK","0","0","0",0
"C125605_20190404","TRUNK","1","3","3",0
"C125605_20190404","SWIM","0","0","0",0
"C125605_20190404","SWIM","1","0","0",0
"C125605_20190404","NC","0","0","0",0
"C125605_20190404","NC","1","0","0",0
"C125605_20190404","TR","0","0","0",0
"C125605_20190404","TR","1","0","0",0
"C125605_20190404","any.except.MORT","0","0","0",0
"C125605_20190404","any.except.MORT","1","6","6",0
"C125605_20190404","any.effect","0","2","2",0
"C125605_20190404","any.effect","1","24","24",0
