"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
3530,"MO24","0","3","3",0
3530,"MO24","1","22","22",0
3530,"DP24","0","0","0",0
3530,"DP24","1","1","1",0
3530,"SM24","0","0","0",0
3530,"SM24","1","0","0",0
3530,"NC24","0","0","0",0
3530,"NC24","1","0","0",0
3530,"MORT","0","3","3",0
3530,"MORT","1","24","24",0
3530,"YSE","0","1","1",0
3530,"YSE","1","6","6",0
3530,"AXIS","0","1","1",0
3530,"AXIS","1","22","22",0
3530,"EYE","0","0","0",0
3530,"EYE","1","5","5",0
3530,"SNOUT","0","0","0",0
3530,"SNOUT","1","0","0",0
3530,"JAW","0","0","0",0
3530,"JAW","1","1","1",0
3530,"OTIC","0","0","0",0
3530,"OTIC","1","0","0",0
3530,"PE","0","0","0",0
3530,"PE","1","2","2",0
3530,"BRAIN","0","0","0",0
3530,"BRAIN","1","0","0",0
3530,"SOMITE","0","0","0",0
3530,"SOMITE","1","0","0",0
3530,"PFIN","0","0","0",0
3530,"PFIN","1","2","2",0
3530,"CFIN","0","0","0",0
3530,"CFIN","1","1","1",0
3530,"PIGMENT","0","0","0",0
3530,"PIGMENT","1","0","0",0
3530,"CIRC","0","0","0",0
3530,"CIRC","1","0","0",0
3530,"TRUNK","0","0","0",0
3530,"TRUNK","1","4","4",0
3530,"SWIM","0","0","0",0
3530,"SWIM","1","0","0",0
3530,"NC","0","0","0",0
3530,"NC","1","0","0",0
3530,"TR","0","0","0",0
3530,"TR","1","0","0",0
3530,"any.except.MORT","0","2","2",0
3530,"any.except.MORT","1","33","33",0
3530,"any.effect","0","5","5",0
3530,"any.effect","1","57","57",0
