"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
3529,"MO24","0","3","3",0
3529,"MO24","1","21","21",0
3529,"DP24","0","1","1",0
3529,"DP24","1","1","1",0
3529,"SM24","0","0","0",0
3529,"SM24","1","0","0",0
3529,"NC24","0","0","0",0
3529,"NC24","1","0","0",0
3529,"MORT","0","3","3",0
3529,"MORT","1","26","26",0
3529,"YSE","0","0","0",0
3529,"YSE","1","7","7",0
3529,"AXIS","0","5","5",0
3529,"AXIS","1","32","32",0
3529,"EYE","0","0","0",0
3529,"EYE","1","5","5",0
3529,"SNOUT","0","0","0",0
3529,"SNOUT","1","1","1",0
3529,"JAW","0","0","0",0
3529,"JAW","1","1","1",0
3529,"OTIC","0","0","0",0
3529,"OTIC","1","0","0",0
3529,"PE","0","0","0",0
3529,"PE","1","5","5",0
3529,"BRAIN","0","0","0",0
3529,"BRAIN","1","0","0",0
3529,"SOMITE","0","0","0",0
3529,"SOMITE","1","0","0",0
3529,"PFIN","0","0","0",0
3529,"PFIN","1","3","3",0
3529,"CFIN","0","1","1",0
3529,"CFIN","1","3","3",0
3529,"PIGMENT","0","0","0",0
3529,"PIGMENT","1","0","0",0
3529,"CIRC","0","0","0",0
3529,"CIRC","1","0","0",0
3529,"TRUNK","0","1","1",0
3529,"TRUNK","1","3","3",0
3529,"SWIM","0","0","0",0
3529,"SWIM","1","0","0",0
3529,"NC","0","0","0",0
3529,"NC","1","0","0",0
3529,"TR","0","0","0",0
3529,"TR","1","0","0",0
3529,"any.except.MORT","0","9","9",0
3529,"any.except.MORT","1","64","64",0
3529,"any.effect","0","9","9",0
3529,"any.effect","1","64","64",0
