Plate_id,GFD_date,Log_date,Dead_wells,Still_in_chorion
000018042,2019-04-17,2019-04-23,H2,A2
000018042,2019-04-17,2019-04-23,G6,F3
000018042,2019-04-17,2019-04-23,D11,D5
000018042,2019-04-17,2019-04-23,A11,A10
000018043,2019-04-17,2019-04-23,A6,H5
000018043,2019-04-17,2019-04-23,H12,
000018041,2019-04-17,2019-04-23,D2,F4
000018041,2019-04-17,2019-04-23,H7,
000018041,2019-04-17,2019-04-23,A8,
000018041,2019-04-17,2019-04-23,E12,
000018040,2019-04-17,2019-04-23,G3,A5
000018040,2019-04-17,2019-04-23,G4,
000018040,2019-04-17,2019-04-23,A6,
000018040,2019-04-17,2019-04-23,G7,
000018040,2019-04-17,2019-04-23,E9,
000018040,2019-04-17,2019-04-24,G3,A5
000018040,2019-04-17,2019-04-24,H3,
000018040,2019-04-17,2019-04-24,G4,
000018040,2019-04-17,2019-04-24,A6,
000018040,2019-04-17,2019-04-24,G7,
000018040,2019-04-17,2019-04-24,E9,
000018041,2019-04-17,2019-04-24,D2,
000018041,2019-04-17,2019-04-24,F4,
000018041,2019-04-17,2019-04-24,H7,
000018041,2019-04-17,2019-04-24,A8,
000018041,2019-04-17,2019-04-24,H9,
000018041,2019-04-17,2019-04-24,E12,
000018043,2019-04-17,2019-04-24,A6,H5
000018043,2019-04-17,2019-04-24,H12,
000018042,2019-04-17,2019-04-24,H2,F3
000018042,2019-04-17,2019-04-24,E5,D5
000018042,2019-04-17,2019-04-24,G6,A10
000018042,2019-04-17,2019-04-24,A11,
000018042,2019-04-17,2019-04-24,D11,
000018042,2019-04-17,2019-04-26,H2,F3
000018042,2019-04-17,2019-04-26,G4,D5
000018042,2019-04-17,2019-04-26,E5,A10
000018042,2019-04-17,2019-04-26,G6,
000018042,2019-04-17,2019-04-26,E7,
000018042,2019-04-17,2019-04-26,A11,
000018042,2019-04-17,2019-04-26,D11,
000018043,2019-04-17,2019-04-26,A6,H5
000018043,2019-04-17,2019-04-26,F9,
000018043,2019-04-17,2019-04-26,H12,
000018041,2019-04-17,2019-04-26,D2,
000018041,2019-04-17,2019-04-26,F4,
000018041,2019-04-17,2019-04-26,H7,
000018041,2019-04-17,2019-04-26,A8,
000018041,2019-04-17,2019-04-26,H9,
000018041,2019-04-17,2019-04-26,E12,
000018040,2019-04-17,2019-04-26,G3,A5
000018040,2019-04-17,2019-04-26,H3,
000018040,2019-04-17,2019-04-26,G4,
000018040,2019-04-17,2019-04-26,A6,
000018040,2019-04-17,2019-04-26,G7,
000018040,2019-04-17,2019-04-26,E9,
