"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"C125605","MO24","0","3","3",0
"C125605","MO24","1","9","9",0
"C125605","DP24","0","0","0",0
"C125605","DP24","1","0","0",0
"C125605","SM24","0","0","0",0
"C125605","SM24","1","0","0",0
"C125605","NC24","0","0","0",0
"C125605","NC24","1","0","0",0
"C125605","MORT","0","6","6",0
"C125605","MORT","1","21","21",0
"C125605","YSE","0","0","0",0
"C125605","YSE","1","2","2",0
"C125605","AXIS","0","0","0",0
"C125605","AXIS","1","3","3",0
"C125605","EYE","0","0","0",0
"C125605","EYE","1","3","3",0
"C125605","SNOUT","0","0","0",0
"C125605","SNOUT","1","1","1",0
"C125605","JAW","0","0","0",0
"C125605","JAW","1","1","1",0
"C125605","OTIC","0","0","0",0
"C125605","OTIC","1","0","0",0
"C125605","PE","0","0","0",0
"C125605","PE","1","3","3",0
"C125605","BRAIN","0","0","0",0
"C125605","BRAIN","1","0","0",0
"C125605","SOMITE","0","0","0",0
"C125605","SOMITE","1","0","0",0
"C125605","PFIN","0","0","0",0
"C125605","PFIN","1","1","1",0
"C125605","CFIN","0","0","0",0
"C125605","CFIN","1","1","1",0
"C125605","PIGMENT","0","0","0",0
"C125605","PIGMENT","1","0","0",0
"C125605","CIRC","0","0","0",0
"C125605","CIRC","1","0","0",0
"C125605","TRUNK","0","0","0",0
"C125605","TRUNK","1","2","2",0
"C125605","SWIM","0","0","0",0
"C125605","SWIM","1","0","0",0
"C125605","NC","0","0","0",0
"C125605","NC","1","0","0",0
"C125605","TR","0","0","0",0
"C125605","TR","1","0","0",0
"C125605","any.except.MORT","0","0","0",0
"C125605","any.except.MORT","1","4","4",0
"C125605","any.effect","0","6","6",0
"C125605","any.effect","1","25","25",0
