"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"C844503_20190410","MO24","0","1","1",0
"C844503_20190410","MO24","1","7","7",0
"C844503_20190410","DP24","0","1","1",0
"C844503_20190410","DP24","1","0","0",0
"C844503_20190410","SM24","0","0","0",0
"C844503_20190410","SM24","1","0","0",0
"C844503_20190410","NC24","0","0","0",0
"C844503_20190410","NC24","1","0","0",0
"C844503_20190410","MORT","0","2","2",0
"C844503_20190410","MORT","1","13","13",0
"C844503_20190410","YSE","0","1","1",0
"C844503_20190410","YSE","1","0","0",0
"C844503_20190410","AXIS","0","0","0",0
"C844503_20190410","AXIS","1","1","1",0
"C844503_20190410","EYE","0","0","0",0
"C844503_20190410","EYE","1","0","0",0
"C844503_20190410","SNOUT","0","0","0",0
"C844503_20190410","SNOUT","1","0","0",0
"C844503_20190410","JAW","0","0","0",0
"C844503_20190410","JAW","1","0","0",0
"C844503_20190410","OTIC","0","0","0",0
"C844503_20190410","OTIC","1","0","0",0
"C844503_20190410","PE","0","0","0",0
"C844503_20190410","PE","1","0","0",0
"C844503_20190410","BRAIN","0","0","0",0
"C844503_20190410","BRAIN","1","0","0",0
"C844503_20190410","SOMITE","0","0","0",0
"C844503_20190410","SOMITE","1","0","0",0
"C844503_20190410","PFIN","0","0","0",0
"C844503_20190410","PFIN","1","0","0",0
"C844503_20190410","CFIN","0","0","0",0
"C844503_20190410","CFIN","1","0","0",0
"C844503_20190410","PIGMENT","0","0","0",0
"C844503_20190410","PIGMENT","1","0","0",0
"C844503_20190410","CIRC","0","0","0",0
"C844503_20190410","CIRC","1","0","0",0
"C844503_20190410","TRUNK","0","0","0",0
"C844503_20190410","TRUNK","1","0","0",0
"C844503_20190410","SWIM","0","0","0",0
"C844503_20190410","SWIM","1","0","0",0
"C844503_20190410","NC","0","0","0",0
"C844503_20190410","NC","1","0","0",0
"C844503_20190410","TR","0","0","0",0
"C844503_20190410","TR","1","0","0",0
"C844503_20190410","any.except.MORT","0","2","2",0
"C844503_20190410","any.except.MORT","1","1","1",0
"C844503_20190410","any.effect","0","3","3",0
"C844503_20190410","any.effect","1","14","14",0
"C844503_20190418","MO24","0","1","1",0
"C844503_20190418","MO24","1","9","9",0
"C844503_20190418","DP24","0","0","0",0
"C844503_20190418","DP24","1","0","0",0
"C844503_20190418","SM24","0","0","0",0
"C844503_20190418","SM24","1","0","0",0
"C844503_20190418","NC24","0","0","0",0
"C844503_20190418","NC24","1","0","0",0
"C844503_20190418","MORT","0","2","2",0
"C844503_20190418","MORT","1","9","9",0
"C844503_20190418","YSE","0","0","0",0
"C844503_20190418","YSE","1","1","1",0
"C844503_20190418","AXIS","0","0","0",0
"C844503_20190418","AXIS","1","1","1",0
"C844503_20190418","EYE","0","0","0",0
"C844503_20190418","EYE","1","1","1",0
"C844503_20190418","SNOUT","0","0","0",0
"C844503_20190418","SNOUT","1","0","0",0
"C844503_20190418","JAW","0","0","0",0
"C844503_20190418","JAW","1","0","0",0
"C844503_20190418","OTIC","0","0","0",0
"C844503_20190418","OTIC","1","0","0",0
"C844503_20190418","PE","0","0","0",0
"C844503_20190418","PE","1","1","1",0
"C844503_20190418","BRAIN","0","0","0",0
"C844503_20190418","BRAIN","1","0","0",0
"C844503_20190418","SOMITE","0","0","0",0
"C844503_20190418","SOMITE","1","0","0",0
"C844503_20190418","PFIN","0","0","0",0
"C844503_20190418","PFIN","1","0","0",0
"C844503_20190418","CFIN","0","0","0",0
"C844503_20190418","CFIN","1","0","0",0
"C844503_20190418","PIGMENT","0","0","0",0
"C844503_20190418","PIGMENT","1","0","0",0
"C844503_20190418","CIRC","0","0","0",0
"C844503_20190418","CIRC","1","0","0",0
"C844503_20190418","TRUNK","0","0","0",0
"C844503_20190418","TRUNK","1","0","0",0
"C844503_20190418","SWIM","0","0","0",0
"C844503_20190418","SWIM","1","0","0",0
"C844503_20190418","NC","0","0","0",0
"C844503_20190418","NC","1","0","0",0
"C844503_20190418","TR","0","0","0",0
"C844503_20190418","TR","1","0","0",0
"C844503_20190418","any.except.MORT","0","0","0",0
"C844503_20190418","any.except.MORT","1","2","2",0
"C844503_20190418","any.effect","0","2","2",0
"C844503_20190418","any.effect","1","11","11",0
