"well","plate.id","chemical.id","chemical.name","vp_locationcode","conc","starttime","vd_inadist","vd_smldist","vd_lardist","plate_well","total"
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1467,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1468,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1469,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1470,0.742999970912933,4.18300008773804,0,"18040_A01",4.18300008773804
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1471,0.398000001907349,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1472,0.625,0.0280000008642673,0,"18040_A01",0.0280000008642673
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1473,0.287999987602234,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1474,0.277999997138977,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1475,0.20100000500679,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1476,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1477,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1478,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1479,0.30799999833107,1.45000004768372,0,"18040_A01",1.45000004768372
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1480,0.680000007152557,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1481,0.118000000715256,1.00100004673004,0,"18040_A01",1.00100004673004
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1482,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1483,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1484,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1485,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1486,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1487,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1488,0.662000000476837,2.53500008583069,0,"18040_A01",2.53500008583069
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1489,0.565999984741211,0.284000009298325,0,"18040_A01",0.284000009298325
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1490,0.625,0.108999997377396,0,"18040_A01",0.108999997377396
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1491,0.805000007152557,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1492,0.503000020980835,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1493,0.358999997377396,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1494,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1495,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1496,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1497,0.449000000953674,4.32299995422363,0.0879999995231628,"18040_A01",4.41099995374679
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1498,0.869000017642975,0.545000016689301,0,"18040_A01",0.545000016689301
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1499,0.763000011444092,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1500,0,0.745999991893768,0,"18040_A01",0.745999991893768
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1501,0.212999999523163,0.522000014781952,1.0900000333786,"18040_A01",1.61200004816055
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1502,0.185000002384186,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1503,0.0529999993741512,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1504,0.400000005960464,0.43299999833107,0,"18040_A01",0.43299999833107
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1505,0.72299998998642,0.629999995231628,0.565999984741211,"18040_A01",1.19599997997284
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1506,0.389999985694885,0.0280000008642673,4.77500009536743,"18040_A01",4.8030000962317
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1507,0.238999992609024,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1508,0.551999986171722,0.810000002384186,0.123000003397465,"18040_A01",0.933000005781651
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1509,0.555999994277954,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1510,0.726000010967255,0.526000022888184,0,"18040_A01",0.526000022888184
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1511,0.686999976634979,1.71099996566772,0,"18040_A01",1.71099996566772
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1512,0,0.39300000667572,0,"18040_A01",0.39300000667572
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1513,0.666999995708466,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1514,1.0460000038147,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1515,0.574000000953674,0.150999993085861,3.89199995994568,"18040_A01",4.04299995303154
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1516,0.524999976158142,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1517,1.08899998664856,0.061999998986721,0,"18040_A01",0.061999998986721
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1518,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1519,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1520,0,0.674000024795532,0,"18040_A01",0.674000024795532
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1521,0.819000005722046,0,0.967000007629395,"18040_A01",0.967000007629395
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1522,0.630999982357025,0.529999971389771,0,"18040_A01",0.529999971389771
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1523,0.261000007390976,0.522000014781952,0,"18040_A01",0.522000014781952
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1524,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1525,0.38400000333786,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1526,0.646000027656555,1.14600002765656,0,"18040_A01",1.14600002765656
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1527,0.126000002026558,2.07100009918213,0.284999996423721,"18040_A01",2.35600009560585
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1528,0.160999998450279,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1529,0.266000002622604,0.485000014305115,2.69400000572205,"18040_A01",3.17900002002717
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1530,0,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1531,0,1.53299999237061,0.409000009298325,"18040_A01",1.94200000166893
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1532,0.555999994277954,0.555999994277954,0,"18040_A01",0.555999994277954
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1533,0.483999997377396,0.739000022411346,3.96000003814697,"18040_A01",4.69900006055832
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1534,0.566999971866608,0.28999999165535,0,"18040_A01",0.28999999165535
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1535,0.517000019550323,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1536,0,1.52900004386902,0,"18040_A01",1.52900004386902
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1537,0.437999993562698,0,0,"18040_A01",0
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1538,0.129999995231628,0.0189999993890524,2.85899996757507,"18040_A01",2.87799996696412
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1539,0.787999987602234,0.896000027656555,0,"18040_A01",0.896000027656555
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1540,0.819000005722046,0.30799999833107,2.6029999256134,"18040_A01",2.91099992394447
"A01",18040,3529,"Germ Free","ZEBRABOX1",1,1541,0.068000003695488,0.0610000006854534,4.43699979782104,"18040_A01",4.49799979850649
